Institut,Semester,Kursusnavn,Type,Dato,Start,Slut,Lokale,Beskrivelse,Team,Team_num
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,31 jul 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,1 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,2 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,3 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,4 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,7 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,8 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,9 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,10 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,11 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,31 jul 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,1 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,2 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,3 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,4 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,7 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,8 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,9 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,10 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,11 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,31 jul 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,1 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,2 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,3 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,4 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,7 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,8 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,9 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,10 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,11 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,31 jul 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,1 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,2 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,3 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,4 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,7 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,8 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,9 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
2200,B5-5f17,Dynamiske Modeller (Undervisning),Forelæsning,10 aug 2017,08:00:00,12:00:00,CSS 35-01-06,Sommerskole - uge 31+32 - Fl.,Alle,-1
