Modul
2500-E17;Bachelorprojekt
2500-B5-5F18;Valgfag: Genes and the Social Environment
2500-B5-5F18;Valgfag: Genes and the Social Environment
"2500-B5-5F18;Vf: Democracy, Democratization and Civil Soc. in Comparative Perspective"
"2500-B5-5F18;Valgfag: Democracy, Democratisation and Civil Society in Comparative Perspective"
"2500-B5-5F18;Teori og Metode: KÃ¸n, innovation, mangfoldighed i offentlige og private institutioner"
2500-B5-5F18;Teori og Tema: Sociologien om byer og byplanlÃ¦gning.
2500-B5-5F18;Valgfag: Anvendt data-mining: Klassifikation af variabler og individer.
2500-B5-5F18;Valgfag: Anvendt data-mining: Klassifikation af variabler og individer.
2500-B5-5F18;Metode og Forskningspraksis: Kvalitative analyser af sociologiske genstandsfelter.
2500-F18;Bachelorprojekt
2500-E17;Teori og Tema: Regulering af arbejdsmigration pÃ¥ det grÃ¦nselÃ¸se arbejdsmarked.
2500-E17;ElementÃ¦re samfundsvidenskabelige metoder II
2500-F18;Metode og Forskningspraksis: Kvalitative analyser af arbejdsliv
2500-F18;Teori og Tema: Madsociologi og samfundsmÃ¦ssige udfordringer
2500-F18;Teori og Tema: Multinationale selskaber og nationale arbejdsmarkedssystemer.
2500-F18;Valgfag: Arbejdsmarkedet og arbejdsmarkedsrelationerne i et dansk og europÃ¦isk perspektiv.
2500-F18;Valgfag: Arbejdsmarkedet og arbejdsmarkedsrelationerne i et dansk og europÃ¦isk perspektiv
2500-F18;Teori og Tema: Scandinavian Welfare Regime: Challenged by Europeanization and Globalization?
